column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aider-polyglot/polyglot_cpp_all-your-base,15,11,0.4230769230769231,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_allergies,16,10,0.38461538461538464,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_bank-account,20,6,0.23076923076923078,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_binary-search-tree,11,15,0.5769230769230769,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_circular-buffer,14,12,0.46153846153846156,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_clock,16,10,0.38461538461538464,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_complex-numbers,25,1,0.038461538461538464,0.98666668,0.06531966115449162,1.0,1.0,1.0,0.666667,1.0,identity,1.0,0.06531966115449162,0,0
aider-polyglot/polyglot_cpp_crypto-square,16,10,0.38461538461538464,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_diamond,19,7,0.2692307692307692,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_dnd-character,23,3,0.11538461538461539,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_gigasecond,18,8,0.3076923076923077,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_grade-school,20,6,0.23076923076923078,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_kindergarten-garden,5,21,0.8076923076923077,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_knapsack,19,7,0.2692307692307692,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_linked-list,23,3,0.11538461538461539,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_meetup,9,17,0.6538461538461539,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_parallel-letter-frequency,9,17,0.6538461538461539,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_perfect-numbers,22,4,0.15384615384615385,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_phone-number,15,11,0.4230769230769231,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_queen-attack,16,10,0.38461538461538464,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_robot-name,16,10,0.38461538461538464,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_space-age,22,4,0.15384615384615385,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_spiral-matrix,8,18,0.6923076923076923,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_sublist,9,17,0.6538461538461539,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_yacht,11,15,0.5769230769230769,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_cpp_zebra-puzzle,22,4,0.15384615384615385,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_go_alphametics,25,1,0.038461538461538464,0.884,0.23946607275353227,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
aider-polyglot/polyglot_go_beer-song,25,1,0.038461538461538464,0.026000000000000002,0.0708801805866774,0.0,0.0,0.0,0.0,0.25,identity,0.0,0.0708801805866774,0,0
aider-polyglot/polyglot_go_book-store,25,1,0.038461538461538464,0.68,0.35777087639996635,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
