model,agent,normalized_mean,normalized_median,observed_fraction,rank
gemini-3.1-pro-preview,gemini-cli,0.7906868133992272,0.607600320509168,0.8444444444444444,1
gemini-3.1-pro-preview,terminus-2,0.6668236839629447,0.5633210719915922,0.8666666666666667,2
gpt-5.4,codex,0.654898931367089,0.5212821860220704,0.8888888888888888,3
claude-opus-4-6,terminus-2,0.5511555185266681,0.4676597843219668,0.28888888888888886,4
claude-opus-4-6,claude-code,0.44564148969402356,0.3680366704389979,0.28888888888888886,5
claude-sonnet-4-6,claude-code,0.21009025084011457,0.143598265228918,0.28888888888888886,6
claude-sonnet-4-6,terminus-2,0.17109912589653947,0.1408946671211487,0.28888888888888886,7
kimi-k2.5,terminus-2,0.1646276699220762,0.101708780791994,0.8666666666666667,8
gemini-3-flash-preview,terminus-2,0.1444798243001254,0.1032938076416335,0.8444444444444444,9
gemini-3-flash-preview,gemini-cli,0.1247024141186005,0.1554652858360371,0.8666666666666667,10
mimo-v2-pro,terminus-2,0.10144997409325766,0.0,0.8666666666666667,11
glm-5,terminus-2,0.020840175003594492,0.0145323305279293,0.8666666666666667,12
deepseek-chat,claude-code,0.012068367420159412,0.0,0.9555555555555556,13
gpt-5.4,terminus-2,-0.039179053471838164,-3.2090918652020707e-16,0.8888888888888888,14
gpt-5-mini,codex,-0.09887021542614148,0.015267175572519,0.8888888888888888,15
deepseek-reasoner,terminus-2,-0.13374102235600166,-0.0244975992163792,0.8888888888888888,16
kimi-k2.5,claude-code,-0.13871761261547852,-0.0130642355463462,0.9111111111111111,17
claude-haiku-4-5-20251001,claude-code,-0.27436700617591403,-2.000708170983312e-15,0.3333333333333333,18
mimo-v2-pro,claude-code,-0.34755704573672114,-0.1063666469285316,0.8666666666666667,19
MiniMax-M2.5,terminus-2,-0.34956078820958225,-0.1681555438780871,0.8888888888888888,20
claude-haiku-4-5-20251001,terminus-2,-0.4237727744843034,-0.507542159522473,0.3111111111111111,21
MiniMax-M2.5,claude-code,-0.4567396514398093,-0.3231502159823146,0.8888888888888888,22
gpt-5-mini,terminus-2,-0.7580191028459526,-0.3689210099822275,0.8666666666666667,23
glm-5,claude-code,-1.4443040735171622,-0.0883317079605575,0.9111111111111111,24
gpt-5-nano,terminus-2,-1.9304331359808966,-0.9553811726280746,0.8444444444444444,25
gpt-5-nano,codex,-3.1959313396542894,-0.7402575194849609,0.8666666666666667,26
