matrix,component,singular_value,variance_fraction,cumulative_variance_fraction
benchmark,1,33.612467284636004,0.5908940257862529,0.5908940257862529
benchmark,2,18.804123971368753,0.18493326000963883,0.7758272857958918
benchmark,3,10.48145295687496,0.05745817040093681,0.8332854561968286
benchmark,4,8.447286717817562,0.03732014174287696,0.8706055979397056
benchmark,5,8.03862368072366,0.033796537636845224,0.9044021355765508
benchmark,6,6.269807859733898,0.020559723888650197,0.924961859465201
benchmark,7,5.380835395570576,0.015142871173069816,0.9401047306382708
benchmark,8,5.341063628954178,0.014919845217317802,0.9550245758555886
benchmark,9,4.073484998600557,0.008678427837275354,0.963703003692864
benchmark,10,3.7285057811911075,0.007270737338280972,0.970973741031145
benchmark,11,3.2092534580534204,0.005386626331246066,0.9763603673623911
benchmark,12,2.9998608401155145,0.004706640544259578,0.9810670079066507
benchmark,13,2.954260393486305,0.004564638177265804,0.9856316460839165
benchmark,14,2.620379305826496,0.0035911796878804127,0.9892228257717969
benchmark,15,2.3627671603784175,0.0029197836085338106,0.9921426093803307
benchmark,16,2.009091057007425,0.002111096350769174,0.9942537057311
benchmark,17,1.7260326356214597,0.0015581412318756503,0.9958118469629756
benchmark,18,1.5347307663558785,0.0012318936393105908,0.9970437406022863
benchmark,19,1.3181290551742613,0.0009087086881981655,0.9979524492904844
benchmark,20,1.2491558070128603,0.0008160974794087833,0.9987685467698932
benchmark,21,0.8930702044809713,0.0004171382496714047,0.9991856850195646
benchmark,22,0.8002058734467806,0.0003348977914503053,0.999520582811015
benchmark,23,0.6876488074519375,0.0002473102988997725,0.9997678931099148
benchmark,24,0.48910903602002975,0.0001251181131943841,0.9998930112231091
benchmark,25,0.4281242345117003,9.586243110555509e-05,0.9999888736542147
benchmark,26,0.14585518398116146,1.1126345785548954e-05,1.0000000000000002
task,1,6880.9275230911835,0.6056028864229035,0.6056028864229035
task,2,4715.904008402187,0.28446175333097645,0.89006463975388
task,3,2381.8192679104277,0.07256238987009837,0.9626270296239783
task,4,1205.0819597788627,0.018574928027449228,0.9812019576514275
task,5,1031.0276738555735,0.013596734405687004,0.9947986920571145
task,6,443.2249270646528,0.002512709744507089,0.9973114018016216
task,7,240.1923954610751,0.0007379254289590203,0.9980493272305806
task,8,183.5954024390274,0.00043113926053688003,0.9984804664911174
task,9,143.8972220510735,0.00026484927558708836,0.9987453157667046
task,10,130.57032637413198,0.00021806348519432949,0.9989633792518989
task,11,117.77089925708363,0.00017740667320603737,0.9991407859251049
task,12,109.98421381490847,0.00015472292927379725,0.9992955088543787
task,13,104.04971352523907,0.0001384763944636948,0.9994339852488424
task,14,89.11589442481436,0.00010157908820182132,0.9995355643370443
task,15,73.68681567674973,6.945020755001075e-05,0.9996050145445943
task,16,70.68969405709733,6.391549749397477e-05,0.9996689300420882
task,17,64.04107520273962,5.2457936026148297e-05,0.9997213879781144
task,18,60.81609669473112,4.7307615143433824e-05,0.9997686955932579
task,19,55.728539807045784,3.972366377190677e-05,0.9998084192570298
task,20,54.049307643609716,3.736579611999827e-05,0.9998457850531498
task,21,51.63001132114459,3.409560570941756e-05,0.9998798806588592
task,22,51.16392449669397,3.3482792256522365e-05,0.9999133634511158
task,23,48.7638976475546,3.041520805715472e-05,0.9999437786591729
task,24,42.824712074717304,2.345756200815413e-05,0.9999672362211811
task,25,36.63795159468205,1.7169448231798186e-05,0.9999844056694129
task,26,34.91695663675642,1.5594330587014056e-05,1.0
