matrix,component,singular_value,variance_fraction,cumulative_variance_fraction
benchmark,1,74.27417696497002,0.6775210742444275,0.6775210742444275
benchmark,2,36.34660994245732,0.1622463490897564,0.839767423334184
benchmark,3,19.213103627847076,0.045335891750883456,0.8851033150850675
benchmark,4,17.20584232180236,0.03635791663705884,0.9214612317221262
benchmark,5,13.64478824676042,0.02286550054109501,0.9443267322632213
benchmark,6,10.813720586908,0.014361420545340252,0.9586881528085616
benchmark,7,9.784473209535188,0.011757690100558011,0.9704458429091196
benchmark,8,8.970972631182239,0.009883850681775991,0.9803296935908956
benchmark,9,7.575066031469249,0.007047254541141002,0.9873769481320366
benchmark,10,5.662756525876249,0.003938246455384813,0.9913151945874213
benchmark,11,3.7471287652027923,0.0017244251449240005,0.9930396197323453
benchmark,12,3.4405319796921927,0.0014537787292173753,0.9944933984615627
benchmark,13,3.2727262217320923,0.0013154261301262565,0.995808824591689
benchmark,14,2.734676958224812,0.0009184577330325132,0.9967272823247215
benchmark,15,2.5404257712828113,0.0007926110668284576,0.99751989339155
benchmark,16,2.206312929955556,0.0005978349939203582,0.9981177283854704
benchmark,17,2.094850811843893,0.0005389560000526459,0.998656684385523
benchmark,18,1.8560751584348687,0.00042309532708105307,0.9990797797126041
benchmark,19,1.6336243566148507,0.000327756650099758,0.9994075363627039
benchmark,20,1.281352783733039,0.0002016436479960584,0.9996091800106999
benchmark,21,1.0673379632826732,0.0001399107310577991,0.9997490907417577
benchmark,22,0.9781726458476593,0.00011751089660460503,0.9998666016383623
benchmark,23,0.7453908901199537,6.823626916655214e-05,0.9999348379075288
benchmark,24,0.6058417369673893,4.507808833081006e-05,0.9999799159958596
benchmark,25,0.36346956282460746,1.6224944113431913e-05,0.999996140939973
benchmark,26,0.17726263910272536,3.8590600268819795e-06,0.9999999999999999
task,1,250000.0101988814,0.7806303623731627,0.7806303623731627
task,2,115264.53800160835,0.1659421887368824,0.9465725511100451
task,3,46312.6404648742,0.026789491567600122,0.9733620426776453
task,4,43798.71949365382,0.02396007722146108,0.9973221198991064
task,5,12645.430295947239,0.0019972508297773964,0.9993193707288838
task,6,6433.062514923291,0.0005168933320926912,0.9998362640609765
task,7,2345.526368073436,6.871412576272152e-05,0.9999049781867392
task,8,1990.8766476750325,4.950557295871119e-05,0.9999544837596979
task,9,1260.292044482252,1.983845176431031e-05,0.9999743222114622
task,10,1109.8876975005944,1.5385919691215856e-05,0.9999897081311534
task,11,734.1419459892808,6.73171100959708e-06,0.999996439842163
task,12,317.34147030645244,1.2578215913253736e-06,0.9999976976637543
task,13,258.72532020994123,8.360711785550524e-07,0.9999985337349329
task,14,220.21364037187755,6.056947633704547e-07,0.9999991394296962
task,15,182.4479715721728,4.1576072856889597e-07,0.9999995551904248
task,16,143.75153731301586,2.5810141286717566e-07,0.9999998132918377
task,17,59.77868039444715,4.4633200921545374e-08,0.9999998579250386
task,18,51.40452569358889,3.3004115541552066e-08,0.9999998909291542
task,19,46.40741386546145,2.6899246874281204e-08,0.999999917828401
task,20,40.44548823317488,2.0431749289555774e-08,0.9999999382601503
task,21,34.52788077837014,1.489036121379316e-08,0.9999999531505115
task,22,32.70289704999684,1.3357889317813367e-08,0.9999999665084008
task,23,29.95690493756753,1.1208803838392983e-08,0.9999999777172047
task,24,26.384915374351905,8.69514437379505e-09,0.9999999864123491
task,25,24.244731551970194,7.341759363884986e-09,0.9999999937541084
task,26,22.362199649125458,6.245891379818766e-09,0.9999999999999998
