selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
1,representative_base,base_representative;unique_unpredictable;high_composite,swe-lancer,swe-lancer-25562-manager-0,swe-lancer/swe-lancer-25562-manager-0,base_representative;unique_unpredictable;high_composite,0.8489102564102564,0.9489102564102565,medium,0.5923076923076923,1.0,0.8333333333333334,0.95,17,0.4076923076923077,0.4117647058823529,0.3968735951396,0.2530987318323854,0.23443923104236866,0.5572179920467556,1.0,3.0,1.0,True,False,False,True,True
2,representative_base,base_representative;unique_unpredictable;high_composite,gpqa-diamond,gpqa-diamond-142,gpqa-diamond/gpqa-diamond-142,base_representative;unique_unpredictable;high_composite,0.8380433003326262,0.9380433003326263,medium,0.5673076923076923,0.9943820224719101,0.8230337078651685,0.9494949494949495,19,0.4326923076923077,0.4447368421052631,0.4106781095886301,0.6250663023536671,0.3050301003384572,0.2833523037315089,2.0,33.0,1.0,True,False,False,True,True
3,representative_base,base_representative;difficult;high_composite,featurebench-modal,featurebench-modal-huggingface__transformers.e2e8dbed.test_tests_fetcher.e1abe0dd.lv1,featurebench-modal/featurebench-modal-huggingface__transformers.e2e8dbed.test_tests_fetcher.e1abe0dd.lv1,base_representative;difficult;high_composite,0.808751768346596,0.908751768346596,hard,0.7288461538461539,0.9942528735632183,0.5862068965517241,0.88,26,0.2711538461538461,0.2711538461538461,0.3908012176490451,0.6039087583830703,0.35261217573556497,0.13067353898570977,2.0,73.0,4.0,True,True,False,False,True
4,representative_base,base_representative;difficult;high_composite,replicationbench,replicationbench-astm3__photometry_classification_accuracy_no_clip,replicationbench/replicationbench-astm3__photometry_classification_accuracy_no_clip,base_representative;difficult;high_composite,0.8051282051282052,0.9051282051282052,hard,0.7461538461538462,1.0,0.47435897435897434,1.0,17,0.2538461538461538,0.388235294117647,0.4522913596880255,0.5505708251213718,0.3610512365417177,0.10540119683453097,1.0,42.0,2.0,True,True,False,False,True
5,representative_base,base_representative;unique_unpredictable;high_composite,livecodebench,livecodebench-arc186_d,livecodebench/livecodebench-arc186_d,base_representative;unique_unpredictable;high_composite,0.8014472064479637,0.9014472064479637,medium,0.34743588461538455,1.0,0.8823529411764706,0.96,17,0.6525641153846155,0.5745098235294117,0.4447999387859981,0.4828824817949157,0.2791301174919095,0.33781957086046177,1.0,9.0,3.0,True,False,False,True,True
6,representative_base,base_representative;high_composite,spider2,spider2-workday001,spider2/spider2-workday001,base_representative;high_composite,0.837313988095238,0.8973139880952381,medium,0.5999999999999999,1.0,0.796875,0.9206349206349206,14,0.4000000000000001,0.4857142857142857,0.4580348440537542,0.5091991331934546,0.38963324389592957,0.2533726708255464,1.0,8.0,1.0,True,False,False,False,True
7,representative_base,base_representative;difficult;high_composite,qcircuitbench,qcircuitbench-clifford_2-n5,qcircuitbench/qcircuitbench-clifford_2-n5,base_representative;difficult;high_composite,0.7949463846153846,0.8949463846153847,hard,0.7197855384615385,1.0,0.5,0.9333333333333333,20,0.2802144615384615,0.3004988,0.3187863308979229,0.66566523107874,0.20447870250908035,0.49080240955052823,1.0,2.0,1.0,True,True,False,False,True
8,representative_base,base_representative;difficult;high_composite,arc-agi-2,arc-agi-2-247ef758_0,arc-agi-2/arc-agi-2-247ef758_0,base_representative;difficult;high_composite,0.7904255319148937,0.8904255319148937,hard,0.8,1.0,0.3617021276595745,1.0,20,0.2,0.26,0.4294182110716777,0.6201319774147795,0.3904374056429097,0.0090243257853172,1.0,61.0,7.0,True,True,False,False,True
9,representative_base,base_representative;unique_unpredictable;high_composite,bfcl,bfcl-live-parallel-multiple-8-7-0,bfcl/bfcl-live-parallel-multiple-8-7-0,base_representative;unique_unpredictable;high_composite,0.781710791466889,0.8817107914668891,medium,0.3076923076923077,1.0,0.8703703703703703,0.9146341463414634,26,0.6923076923076923,0.6923076923076923,0.3730570970148351,0.3311236506151059,0.164849122865964,0.42142857142857126,1.0,15.0,2.0,True,False,False,True,True
10,representative_base,base_representative;high_composite,featurebench-modal,featurebench-modal-sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,featurebench-modal/featurebench-modal-sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,base_representative;high_composite,0.8078525608974358,0.8678525608974359,medium,0.564743576923077,1.0,0.6666666666666666,1.0,26,0.435256423076923,0.435256423076923,0.4699137764328663,0.561216222373652,0.35677622104272894,0.15667760407917142,1.0,59.0,6.0,True,False,False,False,True
