selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
1,representative_base,base_representative;unique_unpredictable;high_composite,swe-lancer,swe-lancer-25562-manager-0,swe-lancer/swe-lancer-25562-manager-0,base_representative;unique_unpredictable;high_composite,0.8685599157514818,0.9685599157514819,medium,0.5875729963392611,1.0,0.9166666666666666,0.95,17,0.412427003660739,0.4117647058823529,0.3968735951396,0.2680611068188762,0.23161242427605438,0.5675323091983723,1.0,2.0,1.0,True,False,False,True,True
2,representative_base,base_representative;unique_unpredictable;high_composite,swesmith,swesmith-oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,swesmith/swesmith-oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,base_representative;unique_unpredictable;high_composite,0.8357408650589975,0.9357408650589976,medium,0.6479634602359898,1.0,0.875,0.7,18,0.3520365397640101,0.3611111111111111,0.2965334698907226,0.406890914389612,0.1640209131572605,0.5022403771978694,1.0,2.0,1.0,True,False,False,True,True
3,representative_base,base_representative;unique_unpredictable;high_composite,livecodebench,livecodebench-arc186_d,livecodebench/livecodebench-arc186_d,base_representative;unique_unpredictable;high_composite,0.8071266392617569,0.907126639261757,medium,0.3407418511646747,1.0,0.9117647058823529,0.96,17,0.6592581488353253,0.5745098235294117,0.4447999387859981,0.5380899486250332,0.2801713915781865,0.34003666298054724,1.0,7.0,1.0,True,False,False,True,True
4,representative_base,base_representative;high_composite,spider2,spider2-workday001,spider2/spider2-workday001,base_representative;high_composite,0.8332453690312548,0.8932453690312547,medium,0.583725523744067,1.0,0.796875,0.9206349206349206,14,0.416274476255933,0.4857142857142857,0.4580348440537542,0.6040019256235262,0.3915353178999208,0.25103879805074303,1.0,8.0,1.0,True,False,False,False,True
5,representative_base,base_representative;unique_unpredictable;high_composite,bixbench,bix-12-q5,bixbench/bix-12-q5,base_representative;unique_unpredictable;high_composite,0.7854772794102938,0.8854772794102939,medium,0.33811964395696437,1.0,0.8157894736842105,0.98,20,0.6618803560430356,0.6100000000000001,0.4217819341792628,0.7299084618896126,0.2818469188937179,0.3666773188516703,1.0,8.0,1.0,True,False,False,True,True
6,representative_base,base_representative;difficult;high_composite,replicationbench,replicationbench-astm3__photometry_classification_accuracy_no_clip,replicationbench/replicationbench-astm3__photometry_classification_accuracy_no_clip,base_representative;difficult;high_composite,0.7819950199689203,0.8819950199689204,hard,0.7049031567987583,1.0,0.4230769230769231,1.0,17,0.2950968432012417,0.388235294117647,0.4522913596880255,0.6109221794058756,0.3909204970954127,0.07130653146838695,1.0,46.0,1.0,True,True,False,False,True
7,representative_base,base_representative;unique_unpredictable;high_composite,bfcl,bfcl-live-parallel-multiple-8-7-0,bfcl/bfcl-live-parallel-multiple-8-7-0,base_representative;unique_unpredictable;high_composite,0.781710791466889,0.8817107914668891,medium,0.3076923076923077,1.0,0.8703703703703703,0.9146341463414634,26,0.6923076923076923,0.6923076923076923,0.3730570970148351,0.3668017961269375,0.164849122865964,0.42142857142857126,1.0,15.0,2.0,True,False,False,True,True
8,representative_base,base_representative;high_composite,featurebench-modal,featurebench-modal-linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,featurebench-modal/featurebench-modal-linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,base_representative;high_composite,0.8155729442970823,0.8755729442970823,medium,0.6711538461538461,0.9942528735632183,0.632183908045977,0.945,26,0.3288461538461539,0.3288461538461539,0.422941411864365,0.6676052509962789,0.3543419103687909,0.1334838129731707,2.0,65.0,3.0,True,False,False,False,True
9,representative_base,base_representative;difficult;high_composite,arc-agi-2,arc-agi-2-247ef758_0,arc-agi-2/arc-agi-2-247ef758_0,base_representative;difficult;high_composite,0.7751463739938516,0.8751463739938516,hard,0.7601599640605123,1.0,0.3404255319148936,1.0,20,0.2398400359394877,0.26,0.4294182110716777,0.6535910300525969,0.40557738083707956,0.005596915022699767,1.0,63.0,8.0,True,True,False,False,True
10,representative_base,base_representative;high_composite,featurebench-modal,featurebench-modal-sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,featurebench-modal/featurebench-modal-sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,base_representative;high_composite,0.8107261241158267,0.8707261241158266,medium,0.564743576923077,1.0,0.6781609195402298,1.0,26,0.435256423076923,0.435256423076923,0.4699137764328663,0.5561400207680184,0.35647907674584733,0.15667760407917142,1.0,57.0,8.0,True,False,False,False,True
11,representative_base,base_representative;unique_unpredictable;high_composite,mmmlu,mmmlu-ja-jp-00098,mmmlu/mmmlu-ja-jp-00098,base_representative;unique_unpredictable;high_composite,0.7525443690893537,0.8525443690893537,easy,0.2442077793877182,1.0,0.821969696969697,0.9066666666666666,17,0.7557922206122818,0.627451,0.4373472178992743,0.4775272497274996,0.2652758276499582,0.29491923329422565,1.0,25.0,4.0,True,False,False,True,True
12,representative_base,base_representative;difficult;high_composite,arc-agi-2,arc-agi-2-6e453dd6_0,arc-agi-2/arc-agi-2-6e453dd6_0,base_representative;difficult;high_composite,0.7523192590324048,0.8523192590324049,hard,0.7755323552785555,0.9893617021276596,0.26063829787234044,0.98,20,0.2244676447214445,0.24,0.4176122603564219,0.6562218373043065,0.3981492968366454,0.0048959626939798495,2.0,71.0,11.0,True,True,False,False,True
13,representative_base,base_representative;high_composite,qcircuitbench,qcircuitbench-clifford_2-n5,qcircuitbench/qcircuitbench-clifford_2-n5,base_representative;high_composite,0.7870521770298706,0.8470521770298707,medium,0.6882087081194825,1.0,0.5,0.9333333333333333,20,0.3117912918805174,0.3004988,0.3187863308979229,0.6843343785718125,0.18103106904636196,0.5260534258533176,1.0,2.0,1.0,True,False,False,False,True
14,representative_base,base_representative;high_composite,gso,gso-huggingface--transformers-253f9a3,gso/gso-huggingface--transformers-253f9a3,base_representative;high_composite,0.7694731198377915,0.8294731198377916,medium,0.3984807146452838,1.0,0.75,0.8823529411764706,12,0.6015192853547162,0.5486110833333333,0.4389306550977914,0.3275278782432032,0.10112062585276572,0.6591808705195099,1.0,2.0,1.0,True,False,False,False,True
15,representative_base,base_representative;high_composite,replicationbench,replicationbench-astm3__photometry_classification_accuracy_with_clip,replicationbench/replicationbench-astm3__photometry_classification_accuracy_with_clip,base_representative;high_composite,0.7657803836308572,0.8257803836308573,medium,0.6585061499080438,0.9871794871794872,0.4358974358974359,0.9777777777777777,17,0.3414938500919562,0.3666666470588235,0.4141295320078633,0.6918947201804496,0.3743353424699868,0.07896770316205359,2.0,45.0,2.0,True,False,False,False,True
16,representative_base,base_representative;difficult;frontier_with_variance;high_composite,devopsgym,devopsgym-codegen__containerd__containerd-10275,devopsgym/devopsgym-codegen__containerd__containerd-10275,base_representative;difficult;frontier_with_variance;high_composite,0.678716856800594,0.818716856800594,frontier,0.9615340938690431,0.6666666666666666,0.5,0.5333333333333333,19,0.0384659061309569,0.0526315789473684,0.223296878269436,0.0660679447753408,0.030712675184072644,0.7057535397288007,2.0,2.0,1.0,True,True,True,False,True
17,representative_base,base_representative;high_composite,aider-polyglot,polyglot_python_transpose,aider-polyglot/polyglot_python_transpose,base_representative;high_composite,0.7579716599190284,0.8179716599190283,medium,0.49230769230769234,0.9947368421052631,0.5789473684210527,0.9466666666666667,26,0.5076923076923077,0.5076923076923077,0.4410852672871215,0.5573830492700091,0.3632426704503788,0.13176190326542225,2.0,81.0,3.0,True,False,False,False,True
18,representative_base,base_representative;high_composite,omnimath,omnimath_3346,omnimath/omnimath_3346,base_representative;high_composite,0.7466508097165991,0.8066508097165992,medium,0.5230769230769231,0.9473684210526315,0.6842105263157895,0.755,26,0.4769230769230769,0.4769230769230769,0.3964338069761576,0.6893078524453414,0.2862036867075441,0.3172663671880417,2.0,7.0,1.0,True,False,False,False,True
19,representative_base,base_representative;high_composite,omnimath,omnimath_683,omnimath/omnimath_683,base_representative;high_composite,0.7465418406079356,0.8065418406079357,medium,0.36932525716858455,1.0,0.7368421052631579,0.8,25,0.6306747428314154,0.6240000000000001,0.432,0.6281492231806536,0.31012377325918095,0.3173394003090565,1.0,6.0,2.0,True,False,False,False,True
20,representative_base,base_representative;difficult;high_composite,labbench,labbench-figqa-0036,labbench/labbench-figqa-0036,base_representative;difficult;high_composite,0.7028064270587652,0.8028064270587651,hard,0.7723368193461722,1.0,0.03888888888888889,1.0,13,0.2276631806538279,0.3692307692307692,0.469671923768423,0.5056812948061201,0.4428312430768743,0.006955838102776779,1.0,174.0,5.0,True,True,False,False,True
