selection_rank,benchmark,task_id,task_column,mix_selection_score,difficulty_tier,observed_count,observed_mean,observed_std,strength_correlation
1,featurebench-modal,mlflow__mlflow.93dab383.test_config.c63d41b0.lv1,featurebench-modal/mlflow__mlflow.93dab383.test_config.c63d41b0.lv1,1.6112198591681652,medium,25,0.652,0.4587984306860694,0.6543445054051727
2,aider-polyglot,polyglot_python_food-chain,aider-polyglot/polyglot_python_food-chain,1.5908254526020706,medium,25,0.5920000000000001,0.401915413986575,0.6908331155385725
3,aider-polyglot,polyglot_python_beer-song,aider-polyglot/polyglot_python_beer-song,1.588018559923802,medium,25,0.5599999999999999,0.41182520563948,0.678116431207399
4,aider-polyglot,polyglot_python_zipper,aider-polyglot/polyglot_python_zipper,1.5780217381882304,medium,25,0.672,0.4152300567155513,0.664714758395756
5,featurebench-modal,pandas-dev__pandas.82fa2715.test_iceberg.85771c70.lv2,featurebench-modal/pandas-dev__pandas.82fa2715.test_iceberg.85771c70.lv2,1.57021774142047,medium,26,0.6288461538461539,0.444663458939428,0.6255542824810422
6,aider-polyglot,polyglot_python_bottle-song,aider-polyglot/polyglot_python_bottle-song,1.5615566931685694,medium,25,0.544,0.413840549004082,0.6496392210875643
7,featurebench-modal,mlflow__mlflow.93dab383.test_jsonpath_utils.eb851c42.lv1,featurebench-modal/mlflow__mlflow.93dab383.test_jsonpath_utils.eb851c42.lv1,1.5560382995133475,medium,25,0.60666668,0.4633932832199207,0.5945680932165038
8,featurebench-modal,netflix__metaflow.b390a8d4.test_stub_generator.7bf08c98.lv1,featurebench-modal/netflix__metaflow.b390a8d4.test_stub_generator.7bf08c98.lv1,1.5484625824616676,medium,26,0.55,0.4661627315730981,0.5822998508885695
9,aider-polyglot,polyglot_javascript_palindrome-products,aider-polyglot/polyglot_javascript_palindrome-products,1.5471868252205145,medium,26,0.6461538461538461,0.4307692307692308,0.6164175944512837
10,seal0,81,seal0/81,1.5390107474293937,medium,26,0.6025641153846155,0.3835198092872355,0.6554909381421581
11,aider-polyglot,polyglot_go_transpose,aider-polyglot/polyglot_go_transpose,1.537916689335191,medium,25,0.5760000000000001,0.4245279731654911,0.6153117930927767
12,seal0,9,seal0/9,1.5144379073250904,medium,26,0.4942307692307692,0.3338119227005285,0.6806259846245619
13,gaia,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,gaia/ed58682d-bc52-4baa-9eb0-4eb81e1edacc,1.507691537957115,medium,26,0.6846153846153846,0.3515813809854289,0.6561101569716861
14,featurebench-modal,linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,featurebench-modal/linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,1.4899448708106022,medium,26,0.3288461538461539,0.422941411864365,0.5670034589462372
15,gpqa-diamond,89,gpqa-diamond/89,1.4864463959267364,medium,13,0.5923076923076923,0.3852302777091974,0.6262161182175391
16,featurebench-modal,sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,featurebench-modal/sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,1.4842026491884004,medium,26,0.4352564230769231,0.4699137764328663,0.514288872755534
17,crustbench,crustbench-inversion-list,crustbench/crustbench-inversion-list,1.4833914733225628,medium,22,0.6363636363636365,0.3937528695946857,0.5973309114201847
18,seal0,62,seal0/62,1.4780884947072899,medium,26,0.5544871923076923,0.3923836271198045,0.5857048675874854
