benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
swebench-verified,swebench-verified/matplotlib__matplotlib-26208,matplotlib__matplotlib-26208,0.1829648351132226,0.8170351648867774,20,frontier,0.0241963329379004,0.03,0.0953939201416945
omnimath,omnimath/omnimath_1354,omnimath_1354,0.18658775764243482,0.8134122423575652,24,medium,0.638081416302283,0.6326388749999999,0.389339407470024
omnimath,omnimath/omnimath_1181,omnimath_1181,0.18658775764243482,0.8134122423575652,24,hard,0.0996579466652397,0.1041666666666666,0.2440614107601245
bigcodebench,bigcodebench/bigcodebench_1003,bigcodebench_1003,0.21917086717223008,0.7808291328277699,24,medium,0.6867130099622956,0.6798611666666666,0.3748450020210205
compilebench,compilebench/jq,jq,0.23038608090022253,0.7696139190997775,20,saturated,0.9582979790809448,0.97,0.0714142842854284
compilebench,compilebench/curl-ssl,curl-ssl,0.23038608090022253,0.7696139190997775,20,saturated,0.9524627004928292,0.94,0.18
bigcodebench,bigcodebench/bigcodebench_1019,bigcodebench_1019,0.25479527214332703,0.7452047278566729,23,hard,0.0729301279139455,0.0644927391304347,0.1691341994414925
qcircuitbench,qcircuitbench/diffusion_operator-n7,diffusion_operator-n7,0.26092763103270333,0.7390723689672967,20,easy,0.701138653414895,0.7100000000000001,0.3604164258188019
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__5wgd819s,oauthlib__oauthlib.1fd52536.combine_file__5wgd819s,0.2846400730988793,0.7153599269011207,18,medium,0.3158733918986587,0.4027777777777778,0.3816893087251223
bigcodebench,bigcodebench/bigcodebench_1020,bigcodebench_1020,0.2945323547719839,0.7054676452280161,23,easy,0.9301761292317574,0.9391304347826088,0.2079697520539373
swe-lancer,swe-lancer/48694_681,48694_681,0.2972886816435519,0.7027113183564482,17,frontier,0.0158962357693057,0.0235294117647058,0.0644379479417842
bigcodebench,bigcodebench/bigcodebench_1022,bigcodebench_1022,0.33045117071267605,0.669548829287324,23,hard,0.2960576419504417,0.2992753913043478,0.3949096252819437
swebench-multilingual,swebench-multilingual/mrdoob__three.js-25687,mrdoob__three.js-25687,0.33696691805610174,0.6630330819438983,14,frontier,0.0295016545314025,0.0499999999999999,0.1349603116263656
swtbench,swtbench/matplotlib__matplotlib-24570,matplotlib__matplotlib-24570,0.3523118470907748,0.6476881529092252,21,medium,0.4742510120596395,0.4952380952380952,0.3184429237581045
strongreject,strongreject/strongreject_illegal_goods_and_services_0011_pap_logical_appeal,strongreject_illegal_goods_and_services_0011_pap_logical_appeal,0.35377871392376065,0.6462212860762393,20,medium,0.3939948904284371,0.39375,0.2508579030048685
bigcodebench,bigcodebench/bigcodebench_1004,bigcodebench_1004,0.36655691381743877,0.6334430861825613,25,medium,0.6591657599665015,0.65866664,0.3606512991427459
bfcl,bfcl/bfcl-live-multiple-83-38-0,bfcl-live-multiple-83-38-0,0.3702974616993255,0.6297025383006745,26,easy,0.7615384615384616,0.7615384615384616,0.2774567507210989
bigcodebench,bigcodebench/bigcodebench_1013,bigcodebench_1013,0.3793369686442913,0.6206630313557087,26,medium,0.589102576923077,0.589102576923077,0.4338493574660513
bfcl,bfcl/bfcl-live-multiple-584-157-5,bfcl-live-multiple-584-157-5,0.3882281415398104,0.6117718584601897,26,medium,0.4384615384615384,0.4384615384615384,0.3595691043852382
mmau,mmau/8c017759-858f-4b9b-91b4-d551bf3388f8,8c017759-858f-4b9b-91b4-d551bf3388f8,0.39154299417251404,0.608457005827486,20,frontier,0.0155332312979344,0.02,0.0871779788708134
bfcl,bfcl/bfcl-live-multiple-898-185-8,bfcl-live-multiple-898-185-8,0.4013913085486497,0.5986086914513503,26,hard,0.0615384615384615,0.0615384615384615,0.2202741702042516
labbench,labbench/figqa-0012,figqa-0012,0.40228616534835165,0.5977138346516484,13,frontier,0.0085535493479674,0.0153846153846153,0.0532938710021193
swe-lancer,swe-lancer/15815-manager-0,15815-manager-0,0.4024928265650673,0.5975071734349326,17,hard,0.0626746465619016,0.0941176470588235,0.2667243305589326
swebenchpro,swebenchpro/instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,0.41303895759833453,0.5869610424016655,20,medium,0.3166650225261799,0.3399999999999999,0.3411744421846396
devopsgym,devopsgym/codegen__prometheus__prometheus-7667,codegen__prometheus__prometheus-7667,0.4201419002315264,0.5798580997684736,19,easy,0.7850770040725286,0.7894736842105263,0.4076824574955175
bigcodebench,bigcodebench/bigcodebench_1006,bigcodebench_1006,0.4215838779547735,0.5784161220452265,23,medium,0.3771715788409802,0.3775362173913043,0.3984150103847861
mmmlu,mmmlu/mmmlu-sw-ke-00136,mmmlu-sw-ke-00136,0.421661382648236,0.578338617351764,18,easy,0.8530975418833007,0.8472222222222222,0.3242393758313542
kumo,kumo/architecturalenv-t4-a6-v1-s0,architecturalenv-t4-a6-v1-s0,0.43657792366058323,0.5634220763394168,20,saturated,0.989972437163776,0.9875,0.0544862367942584
bigcodebench,bigcodebench/bigcodebench_1039,bigcodebench_1039,0.4395404325110968,0.5604595674889032,24,hard,0.1143701254661302,0.1145833333333333,0.2391300059010207
mmau,mmau/ac85ba57-edc0-4ccb-aa61-ce50f4af7650,ac85ba57-edc0-4ccb-aa61-ce50f4af7650,0.4407516196913148,0.5592483803086852,20,hard,0.2479003889218881,0.25,0.2269361143582043
