selection_rank,benchmark,task_id,task_column,mix_selection_score,difficulty_tier,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation
1,featurebench-modal,mlflow__mlflow.93dab383.test_config.c63d41b0.lv1,featurebench-modal/mlflow__mlflow.93dab383.test_config.c63d41b0.lv1,1.6112198591681652,medium,25,0.6622912743243213,0.652,0.4587984306860694,0.6543445054051727
2,aider-polyglot,polyglot_python_food-chain,aider-polyglot/polyglot_python_food-chain,1.5908254526020706,medium,25,0.5968666047425043,0.5920000000000001,0.401915413986575,0.6908331155385725
3,aider-polyglot,polyglot_python_beer-song,aider-polyglot/polyglot_python_beer-song,1.588018559923802,medium,25,0.5659808178576025,0.5599999999999999,0.41182520563948,0.678116431207399
4,aider-polyglot,polyglot_python_zipper,aider-polyglot/polyglot_python_zipper,1.5780217381882304,medium,25,0.6808131183933929,0.672,0.4152300567155513,0.664714758395756
5,featurebench-modal,pandas-dev__pandas.82fa2715.test_iceberg.85771c70.lv2,featurebench-modal/pandas-dev__pandas.82fa2715.test_iceberg.85771c70.lv2,1.57021774142047,medium,26,0.6288461538461539,0.6288461538461539,0.444663458939428,0.6255542824810422
6,aider-polyglot,polyglot_python_bottle-song,aider-polyglot/polyglot_python_bottle-song,1.5615566931685694,medium,25,0.5442676609972004,0.544,0.413840549004082,0.6496392210875643
7,featurebench-modal,mlflow__mlflow.93dab383.test_jsonpath_utils.eb851c42.lv1,featurebench-modal/mlflow__mlflow.93dab383.test_jsonpath_utils.eb851c42.lv1,1.5560382995133475,medium,25,0.6175641632837578,0.60666668,0.4633932832199207,0.5945680932165038
8,featurebench-modal,netflix__metaflow.b390a8d4.test_stub_generator.7bf08c98.lv1,featurebench-modal/netflix__metaflow.b390a8d4.test_stub_generator.7bf08c98.lv1,1.5484625824616676,medium,26,0.55,0.55,0.4661627315730981,0.5822998508885695
9,aider-polyglot,polyglot_javascript_palindrome-products,aider-polyglot/polyglot_javascript_palindrome-products,1.5471868252205145,medium,26,0.6461538461538461,0.6461538461538461,0.4307692307692308,0.6164175944512837
10,seal0,81,seal0/81,1.5390107474293937,medium,26,0.6025641153846155,0.6025641153846155,0.3835198092872355,0.6554909381421581
11,aider-polyglot,polyglot_go_transpose,aider-polyglot/polyglot_go_transpose,1.537916689335191,medium,25,0.5813018717706284,0.5760000000000001,0.4245279731654911,0.6153117930927767
12,seal0,9,seal0/9,1.5144379073250904,medium,26,0.4942307692307692,0.4942307692307692,0.3338119227005285,0.6806259846245619
13,gaia,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,gaia/ed58682d-bc52-4baa-9eb0-4eb81e1edacc,1.507691537957115,medium,26,0.6846153846153846,0.6846153846153846,0.3515813809854289,0.6561101569716861
14,featurebench-modal,linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,featurebench-modal/linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,1.4899448708106022,medium,26,0.3288461538461539,0.3288461538461539,0.422941411864365,0.5670034589462372
15,gpqa-diamond,89,gpqa-diamond/89,1.4864463959267364,medium,13,0.5721275230442366,0.5923076923076923,0.3852302777091974,0.6262161182175391
16,featurebench-modal,sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,featurebench-modal/sphinx-doc__sphinx.e347e59c.test_command_line.039d53a2.lv1,1.4842026491884004,medium,26,0.4352564230769231,0.4352564230769231,0.4699137764328663,0.514288872755534
17,crustbench,crustbench-inversion-list,crustbench/crustbench-inversion-list,1.4833914733225628,medium,22,0.639877176471111,0.6363636363636365,0.3937528695946857,0.5973309114201847
18,seal0,62,seal0/62,1.4780884947072899,medium,26,0.5544871923076923,0.5544871923076923,0.3923836271198045,0.5857048675874854
19,devopsgym,testgen__spotbugs__spotbugs-2795,devopsgym/testgen__spotbugs__spotbugs-2795,1.4727347759262144,medium,19,0.5881642517688364,0.5789473684210527,0.4937279747182557,0.4924683396694971
20,replicationbench,abacus__lcdm_total_force_accuracy,replicationbench/abacus__lcdm_total_force_accuracy,1.4701553745682054,medium,16,0.3655986423504984,0.396875,0.4155075021885886,0.5738786416103862
21,seal0,51,seal0/51,1.4684778694594038,medium,26,0.6365384230769231,0.6365384230769231,0.348133617213185,0.6203442522462189
22,replicationbench,gw_cosmo__measure_combo,replicationbench/gw_cosmo__measure_combo,1.4583805942005201,medium,15,0.5817804166070907,0.7000000000000001,0.3812260921465545,0.598308348207812
23,seal0,77,seal0/77,1.4568837852104677,medium,26,0.6217948846153847,0.6217948846153847,0.4058274570367907,0.5510563281736769
24,labbench,figqa-0072,labbench/figqa-0072,1.456160893369698,medium,13,0.4715127435134296,0.4769230769230769,0.4116642510849123,0.5694966422847857
25,lawbench,lawbench-2-5-19-zero-shot,lawbench/lawbench-2-5-19-zero-shot,1.4556764429629505,medium,19,0.6886871569069604,0.6661552631578948,0.2365463718254263,0.7325916095990626
26,crustbench,crustbench-clhash,crustbench/crustbench-clhash,1.4552303555119115,medium,26,0.6230769230769232,0.6230769230769232,0.3388983195678567,0.6163320359440548
27,seal0,33,seal0/33,1.4541791411216203,medium,26,0.3993589999999999,0.3993589999999999,0.3319355761677951,0.622243564953825
28,labbench,figqa-0129,labbench/figqa-0129,1.4459298852721578,medium,13,0.5075904904653143,0.5692307692307692,0.4139576629868834,0.5569722222852745
29,gpqa-diamond,30,gpqa-diamond/30,1.4432687443538743,medium,12,0.5012831715670385,0.5083333333333333,0.3773997291408084,0.5927920921361429
30,gpqa-diamond,183,gpqa-diamond/183,1.4431676419691675,medium,13,0.6221024008458939,0.5884615384615384,0.3752711051584759,0.5928965368106918
31,crustbench,crustbench-rhbloom,crustbench/crustbench-rhbloom,1.4415142265748504,medium,26,0.5378205,0.5378205,0.3801865808724458,0.5613276457024047
32,bixbench,bix-61-q2,bixbench/bix-61-q2,1.434753293046715,medium,20,0.5758706194135859,0.5599999999999999,0.4586937976471886,0.4875979569379879
33,arc-agi-2,2ba387bc_0,arc-agi-2/2ba387bc_0,1.4335638369189014,medium,20,0.435990770983059,0.4666666499999999,0.4071581783806233,0.5379441200767395
34,swebenchpro,instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,swebenchpro/instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,1.4310217681676476,medium,20,0.6016678797183356,0.58,0.3682390527904394,0.5743211769156696
35,gaia,7619a514-5fa8-43ef-9143-83b66a43d7a4,gaia/7619a514-5fa8-43ef-9143-83b66a43d7a4,1.4289131982166987,medium,26,0.6923076923076923,0.6923076923076923,0.3474335320195758,0.581479666197123
36,swebench-multilingual,jqlang__jq-2750,swebench-multilingual/jqlang__jq-2750,1.4288809345000522,medium,13,0.4979327452512989,0.5230769230769231,0.4869905166567512,0.466890417843301
37,mmau,ab53be54-3300-4964-b943-82feae51d6cd,mmau/ab53be54-3300-4964-b943-82feae51d6cd,1.4271218168874742,medium,20,0.6030186284313144,0.5600000000000002,0.4029888335921977,0.5356714448337379
38,swtbench,astropy__astropy-14182,swtbench/astropy__astropy-14182,1.4266460218676804,medium,26,0.3307692307692307,0.3307692307692307,0.3549314460018254,0.5717145758658551
39,bixbench,bix-47-q2,bixbench/bix-47-q2,1.4263960181733657,medium,19,0.4877957454328229,0.4956139999999999,0.3209927261722198,0.6188648304626844
