task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count,is_bounded_score_task,is_reliable_observed_task,is_discriminative_task,is_mix_candidate_pool,mix_selection_score
aider-polyglot/polyglot_cpp_all-your-base,aider-polyglot,polyglot_cpp_all-your-base,15,11,0.4230769230769231,1.0,0.0,1.0,1.0,1.0,-3.344980884134261e-12,1.574414300112727e-11,-0.0695361543185765,saturated,0,0,True,True,False,False,0.028846153846153844
aider-polyglot/polyglot_cpp_allergies,aider-polyglot,polyglot_cpp_allergies,16,10,0.3846153846153846,1.0,0.0,1.0,1.0,1.0,-7.621159229447322e-12,3.5044278996955585e-11,0.6604417084821871,saturated,0,0,True,True,False,False,0.6912109392514179
aider-polyglot/polyglot_cpp_bank-account,aider-polyglot,polyglot_cpp_bank-account,20,6,0.2307692307692307,1.0,0.0,1.0,1.0,1.0,-4.6220120480747185e-14,1.703305293618811e-13,,saturated,0,0,True,True,False,False,0.038461538461538464
aider-polyglot/polyglot_cpp_binary-search-tree,aider-polyglot,polyglot_cpp_binary-search-tree,11,15,0.5769230769230769,1.0,0.0,1.0,1.0,1.0,1.4550375126426843e-10,6.613161026497313e-10,0.0386721079380677,saturated,0,0,True,False,False,False,0.05982595409191385
aider-polyglot/polyglot_cpp_circular-buffer,aider-polyglot,polyglot_cpp_circular-buffer,14,12,0.4615384615384615,1.0,0.0,1.0,1.0,1.0,6.555978824933043e-13,4.964648284148487e-12,-0.5357218297880784,saturated,0,0,True,True,False,False,0.026923076923076925
aider-polyglot/polyglot_cpp_clock,aider-polyglot,polyglot_cpp_clock,16,10,0.3846153846153846,1.0,0.0,1.0,1.0,1.0,-4.157235784577103e-12,2.0492419484039763e-11,-0.1353846589228637,saturated,0,0,True,True,False,False,0.03076923076923077
aider-polyglot/polyglot_cpp_complex-numbers,aider-polyglot,polyglot_cpp_complex-numbers,25,1,0.0384615384615384,0.98666668,0.0653196611544916,0.666667,1.0,0.9858182650552652,-0.2171128063752923,0.9827289018319793,0.0614340472674858,saturated,0,0,True,True,False,False,0.1748306314989005
aider-polyglot/polyglot_cpp_crypto-square,aider-polyglot,polyglot_cpp_crypto-square,16,10,0.3846153846153846,1.0,0.0,1.0,1.0,1.0,-5.1698234405265095e-12,2.8772273870371287e-11,-0.1105598163687059,saturated,0,0,True,True,False,False,0.03076923076923077
aider-polyglot/polyglot_cpp_diamond,aider-polyglot,polyglot_cpp_diamond,19,7,0.2692307692307692,1.0,0.0,1.0,1.0,1.0,-3.2771506373916644e-14,1.354802105999457e-13,,saturated,0,0,True,True,False,False,0.03653846153846154
aider-polyglot/polyglot_cpp_dnd-character,aider-polyglot,polyglot_cpp_dnd-character,23,3,0.1153846153846153,1.0,0.0,1.0,1.0,1.0,2.9072521188542648e-15,2.535952187231892e-14,,saturated,0,0,True,True,False,False,0.04423076923076923
aider-polyglot/polyglot_cpp_gigasecond,aider-polyglot,polyglot_cpp_gigasecond,18,8,0.3076923076923077,1.0,0.0,1.0,1.0,1.0,-1.395434484225618e-12,1.0474830455447064e-11,0.3416125155266089,saturated,0,0,True,True,False,False,0.3762279001419935
aider-polyglot/polyglot_cpp_grade-school,aider-polyglot,polyglot_cpp_grade-school,20,6,0.2307692307692307,1.0,0.0,1.0,1.0,1.0,-3.672071687439632e-14,8.524426454255871e-14,,saturated,0,0,True,True,False,False,0.038461538461538464
aider-polyglot/polyglot_cpp_kindergarten-garden,aider-polyglot,polyglot_cpp_kindergarten-garden,5,21,0.8076923076923077,1.0,0.0,1.0,1.0,1.0,3.4665252780859797e-12,1.7952972670071798e-11,0.0907129171698871,saturated,0,0,True,False,False,False,0.10032830178527172
aider-polyglot/polyglot_cpp_knapsack,aider-polyglot,polyglot_cpp_knapsack,19,7,0.2692307692307692,1.0,0.0,1.0,1.0,1.0,-3.7466151333509086e-15,7.160168249082386e-14,,saturated,0,0,True,True,False,False,0.03653846153846154
aider-polyglot/polyglot_cpp_linked-list,aider-polyglot,polyglot_cpp_linked-list,23,3,0.1153846153846153,1.0,0.0,1.0,1.0,1.0,4.681054859073273e-15,1.9362769876701497e-14,,saturated,0,0,True,True,False,False,0.04423076923076923
aider-polyglot/polyglot_cpp_meetup,aider-polyglot,polyglot_cpp_meetup,9,17,0.6538461538461539,1.0,0.0,1.0,1.0,1.0,-2.0167828643530917e-14,2.0789536894986777e-13,,saturated,0,0,True,False,False,False,0.01730769230769231
aider-polyglot/polyglot_cpp_parallel-letter-frequency,aider-polyglot,polyglot_cpp_parallel-letter-frequency,9,17,0.6538461538461539,1.0,0.0,1.0,1.0,1.0,-5.617939645182266e-14,2.520255389686013e-13,,saturated,0,0,True,False,False,False,0.01730769230769231
aider-polyglot/polyglot_cpp_perfect-numbers,aider-polyglot,polyglot_cpp_perfect-numbers,22,4,0.1538461538461538,1.0,0.0,1.0,1.0,1.0,1.898103014952955e-16,1.1778488649567525e-15,,saturated,0,0,True,True,False,False,0.04230769230769231
aider-polyglot/polyglot_cpp_phone-number,aider-polyglot,polyglot_cpp_phone-number,15,11,0.4230769230769231,1.0,0.0,1.0,1.0,1.0,1.7630671463902954e-14,1.0931951344210355e-13,,saturated,0,0,True,True,False,False,0.028846153846153844
aider-polyglot/polyglot_cpp_queen-attack,aider-polyglot,polyglot_cpp_queen-attack,16,10,0.3846153846153846,1.0,0.0,1.0,1.0,1.0,-2.2216014498089317e-17,1.428486436555921e-16,,saturated,0,0,True,True,False,False,0.03076923076923077
aider-polyglot/polyglot_cpp_robot-name,aider-polyglot,polyglot_cpp_robot-name,16,10,0.3846153846153846,1.0,0.0,1.0,1.0,1.0,-3.088067777116335e-15,7.674776918674911e-15,,saturated,0,0,True,True,False,False,0.03076923076923077
aider-polyglot/polyglot_cpp_space-age,aider-polyglot,polyglot_cpp_space-age,22,4,0.1538461538461538,1.0,0.0,1.0,1.0,1.0,-6.153770661015828e-16,2.808326737124089e-15,,saturated,0,0,True,True,False,False,0.04230769230769231
