task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count,is_bounded_score_task,is_reliable_observed_task,is_discriminative_task,is_mix_candidate_pool,mix_selection_score
featurebench-modal/mwaskom__seaborn.7001ebe7.test_relational.f23eb542.lv1,featurebench-modal,mwaskom__seaborn.7001ebe7.test_relational.f23eb542.lv1,26,0,0.0,0.0423076923076923,0.1245702672361665,0.0,0.5,0.0423076923076923,0.3396291366019411,1.0,0.3336759519804849,frontier,0,0,True,True,True,False,0.5082462192166514
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_lightglue.3d3d57cb.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_lightglue.3d3d57cb.lv1,26,0,0.0,0.0435897307692307,0.1077227939144506,0.0,0.4,0.0435897307692307,0.4046472356059393,0.9999999999999998,0.324846792503313,frontier,0,0,True,True,True,False,0.4825695864177636
seal0/69,seal0,69,26,0,0.0,0.0384615384615384,0.1570813681281702,0.0,0.8,0.0384615384615384,0.2448510534371959,1.0,0.2854224101955696,frontier,0,0,True,True,True,False,0.49250377832373976
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_informer.de781186.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_informer.de781186.lv1,26,0,0.0,0.0461538461538461,0.1365249180715295,0.0,0.5,0.0461538461538461,0.3380617018914067,1.0000000000000002,0.2508045155060605,frontier,0,0,True,True,True,False,0.43732943357758997
featurebench-modal/huggingface__transformers.e2e8dbed.test_processing_owlvit.56ec5dc9.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_processing_owlvit.56ec5dc9.lv1,26,0,0.0,0.0096153846153846,0.048076923076923,0.0,0.25,0.0096153846153846,0.2,1.0,0.239040751862167,frontier,0,0,True,True,False,False,0.33711767493909
seal0/43,seal0,43,26,0,0.0,0.0076923076923076,0.0384615384615384,0.0,0.2,0.0076923076923076,0.2,1.0,0.239040751862167,frontier,0,0,True,True,False,False,0.32750229032370537
featurebench-modal/python__mypy.8e2ce962.testconstraints.db380fe7.lv1,featurebench-modal,python__mypy.8e2ce962.testconstraints.db380fe7.lv1,26,0,0.0,0.0346153846153846,0.1072104604982027,0.0,0.5,0.0346153846153846,0.3228732015003788,1.0,0.2379682356976217,frontier,0,0,True,True,True,False,0.3951786961958244
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_prompt_depth_anything.2d54afdc.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_prompt_depth_anything.2d54afdc.lv1,26,0,0.0,0.0461538461538461,0.1946017021642079,0.0,1.0,0.0461538461538461,0.2371708245126284,0.9999999999999998,0.2206879332916347,frontier,0,0,True,True,True,False,0.4652896354558426
seal0/28,seal0,28,26,0,0.0,0.0076923076923076,0.0384615384615384,0.0,0.2,0.0076923076923076,0.2,1.0,0.2095351024382888,frontier,0,0,True,True,False,False,0.2979966408998272
seal0/55,seal0,55,26,0,0.0,0.0307692307692307,0.072160242458822,0.0,0.2,0.0307692307692307,0.4264014327112209,1.0,0.2084185305277034,frontier,0,0,True,True,True,False,0.3305787729865254
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_zoedepth.e19636d3.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_zoedepth.e19636d3.lv1,26,0,0.0,0.0384615384615384,0.1332346775052982,0.0,0.5,0.0384615384615384,0.2886751345948128,1.0,0.1973305934932022,frontier,0,0,True,True,True,False,0.3805652709985004
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_vitpose.30ffd86e.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_vitpose.30ffd86e.lv1,26,0,0.0,0.0423076923076923,0.1245702672361665,0.0,0.5,0.0423076923076923,0.3396291366019411,1.0,0.1840495561605682,frontier,0,0,True,True,True,False,0.3586198233967347
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_vitmatte.2d342386.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_vitmatte.2d342386.lv1,26,0,0.0,0.0397435769230769,0.1176766330828071,0.0,0.5,0.0397435769230769,0.3377355034887003,1.0,0.1831672083750057,frontier,0,0,True,True,True,False,0.3508438414578128
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_speech_encoder_decoder.b0d78d76.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_speech_encoder_decoder.b0d78d76.lv1,26,0,0.0,0.0192307692307692,0.0961538461538461,0.0,0.5,0.0192307692307692,0.2,1.0,0.1819815895051157,frontier,0,0,True,True,True,False,0.3281354356589618
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_time_series_transformer.b0ef2ff5.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_time_series_transformer.b0ef2ff5.lv1,26,0,0.0,0.0192307692307692,0.0961538461538461,0.0,0.5,0.0192307692307692,0.2,1.0,0.1819815895051157,frontier,0,0,True,True,True,False,0.3281354356589618
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_swin2sr.f5cba486.lv1,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_swin2sr.f5cba486.lv1,26,0,0.0,0.0269230769230769,0.1021224465180904,0.0,0.5,0.0269230769230769,0.2636352520041483,1.0000000000000002,0.1605093874305241,frontier,0,0,True,True,True,False,0.3126318339486145
featurebench-modal/pandas-dev__pandas.82fa2715.test_formats.05080a4e.lv1,featurebench-modal,pandas-dev__pandas.82fa2715.test_formats.05080a4e.lv1,26,0,0.0,0.048076923076923,0.1963517101602128,0.0,1.0,0.048076923076923,0.2448510534371958,0.9999999999999998,0.1480936441428393,frontier,0,0,True,True,True,False,0.3944453543030521
bigcodebench/bigcodebench_100,bigcodebench,bigcodebench_100,26,0,0.0,0.0442307692307692,0.1508481936079875,0.0,0.75,0.0442307692307692,0.2932137811720349,0.9999999999999996,0.1414348356335312,frontier,0,0,True,True,True,False,0.3422830292415187
featurebench-modal/huggingface__transformers.e2e8dbed.test_modeling_pixtral.a620bb0b.lv2,featurebench-modal,huggingface__transformers.e2e8dbed.test_modeling_pixtral.a620bb0b.lv2,26,0,0.0,0.0384615384615384,0.1332346775052982,0.0,0.5,0.0384615384615384,0.2886751345948128,1.0,0.1386965276189989,frontier,0,0,True,True,True,False,0.32193120512429707
seal0/29,seal0,29,26,0,0.0,0.0326923076923076,0.0950124563618125,0.0,0.4,0.0326923076923076,0.3440844384426147,1.0,0.1179018433569233,frontier,0,0,True,True,True,False,0.2629142997187358
