benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,observed_mean,observed_std
swebench-verified,swebench-verified/matplotlib__matplotlib-26208,matplotlib__matplotlib-26208,0.18296483511322256,0.8170351648867774,20,frontier,0.030000000000000006,0.09539392014169458
omnimath,omnimath/omnimath_1354,omnimath_1354,0.18658775764243485,0.8134122423575652,24,medium,0.6326388749999999,0.389339407470024
omnimath,omnimath/omnimath_1181,omnimath_1181,0.18658775764243485,0.8134122423575652,24,hard,0.10416666666666667,0.24406141076012453
bigcodebench,bigcodebench/bigcodebench_1003,bigcodebench_1003,0.2191708671722301,0.7808291328277699,24,medium,0.6798611666666666,0.3748450020210205
compilebench,compilebench/jq,jq,0.23038608090022253,0.7696139190997775,20,saturated,0.9700000000000001,0.07141428428542848
compilebench,compilebench/curl-ssl,curl-ssl,0.23038608090022253,0.7696139190997775,20,easy,0.9400000000000001,0.18000000000000002
bigcodebench,bigcodebench/bigcodebench_1019,bigcodebench_1019,0.25479527214332687,0.7452047278566731,23,hard,0.06449273913043477,0.1691341994414925
qcircuitbench,qcircuitbench/diffusion_operator-n7,diffusion_operator-n7,0.26092763103270333,0.7390723689672967,20,easy,0.7100000000000001,0.36041642581880196
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__5wgd819s,oauthlib__oauthlib.1fd52536.combine_file__5wgd819s,0.2846400730988793,0.7153599269011207,18,medium,0.4027777777777778,0.3816893087251223
bigcodebench,bigcodebench/bigcodebench_1020,bigcodebench_1020,0.2945323547719839,0.7054676452280161,23,easy,0.9391304347826087,0.20796975205393733
swe-lancer,swe-lancer/48694_681,48694_681,0.2972886816435518,0.7027113183564482,17,frontier,0.023529411764705882,0.06443794794178426
bigcodebench,bigcodebench/bigcodebench_1022,bigcodebench_1022,0.3304511707126761,0.669548829287324,23,hard,0.2992753913043478,0.3949096252819437
swebench-multilingual,swebench-multilingual/mrdoob__three.js-25687,mrdoob__three.js-25687,0.3369669180561016,0.6630330819438983,14,frontier,0.049999999999999996,0.13496031162636563
swtbench,swtbench/matplotlib__matplotlib-24570,matplotlib__matplotlib-24570,0.3523118470907748,0.6476881529092252,21,medium,0.49523809523809526,0.31844292375810457
strongreject,strongreject/strongreject_illegal_goods_and_services_0011_pap_logical_appeal,strongreject_illegal_goods_and_services_0011_pap_logical_appeal,0.35377871392376065,0.6462212860762393,20,medium,0.39375000000000004,0.2508579030048685
