model,agent,mean_delta_vs_terminus,median_delta_vs_terminus,win_rate_vs_terminus,compared_benchmarks
gpt-5-mini,codex,0.7985565095975894,0.5650047834765316,0.7435897435897436,39
gpt-5.4,codex,0.7794906404940777,0.6464642350779035,0.7435897435897436,39
gemini-3.1-pro-preview,gemini-cli,0.17628127657700532,0.0,0.48717948717948717,39
claude-haiku-4-5-20251001,claude-code,0.10566418365309196,0.23201880719727974,0.5897435897435898,39
gemini-3-flash-preview,gemini-cli,-0.008058929980570308,0.035301830652075816,0.5128205128205128,39
claude-sonnet-4-6,claude-code,-0.08132539036892972,-0.08502781159717565,0.4358974358974359,39
MiniMax-M2.5,claude-code,-0.11716105350877297,0.0,0.41025641025641024,39
claude-opus-4-6,claude-code,-0.142934369755042,-0.07313410435321599,0.4358974358974359,39
kimi-k2.5,claude-code,-0.3245621251416223,-0.1137442914583722,0.28205128205128205,39
mimo-v2-pro,claude-code,-0.4629451612502098,-0.30821268255674267,0.3333333333333333,39
gpt-5-nano,codex,-1.4551775984637338,0.007004713378404137,0.5128205128205128,39
glm-5,claude-code,-1.7173410488131429,-0.13592969589682002,0.3076923076923077,39
