model,agent,normalized_mean,normalized_median,observed_fraction,rank
gemini-3.1-pro-preview,gemini-cli,0.7906868133992272,0.607600320509168,0.8444444444444444,1
gemini-3.1-pro-preview,terminus-2,0.6668236839629447,0.5633210719915922,0.8666666666666667,2
gpt-5.4,codex,0.654898931367089,0.5212821860220704,0.8888888888888888,3
claude-opus-4-6,terminus-2,0.551155518526668,0.4676597843219668,0.28888888888888886,4
claude-opus-4-6,claude-code,0.44564148969402356,0.36803667043899796,0.28888888888888886,5
claude-sonnet-4-6,claude-code,0.2100902508401145,0.14359826522891803,0.28888888888888886,6
claude-sonnet-4-6,terminus-2,0.17109912589653947,0.14089466712114876,0.28888888888888886,7
kimi-k2.5,terminus-2,0.16462766992207623,0.10170878079199402,0.8666666666666667,8
gemini-3-flash-preview,terminus-2,0.1444798243001254,0.10329380764163354,0.8444444444444444,9
gemini-3-flash-preview,gemini-cli,0.1247024141186005,0.15546528583603714,0.8666666666666667,10
mimo-v2-pro,terminus-2,0.10144997409325768,0.0,0.8666666666666667,11
glm-5,terminus-2,0.0208401750035945,0.014532330527929306,0.8666666666666667,12
deepseek-chat,claude-code,0.012068367420159452,0.0,0.9555555555555556,13
gpt-5.4,terminus-2,-0.039179053471838164,-3.2090918652020707e-16,0.8888888888888888,14
gpt-5-mini,codex,-0.09887021542614148,0.015267175572519097,0.8888888888888888,15
deepseek-reasoner,terminus-2,-0.13374102235600166,-0.02449759921637921,0.8888888888888888,16
kimi-k2.5,claude-code,-0.13871761261547855,-0.013064235546346269,0.9111111111111111,17
claude-haiku-4-5-20251001,claude-code,-0.27436700617591403,-2.000708170983312e-15,0.3333333333333333,18
mimo-v2-pro,claude-code,-0.34755704573672114,-0.1063666469285316,0.8666666666666667,19
MiniMax-M2.5,terminus-2,-0.34956078820958225,-0.16815554387808715,0.8888888888888888,20
claude-haiku-4-5-20251001,terminus-2,-0.4237727744843034,-0.507542159522473,0.3111111111111111,21
MiniMax-M2.5,claude-code,-0.4567396514398092,-0.32315021598231464,0.8888888888888888,22
gpt-5-mini,terminus-2,-0.7580191028459526,-0.3689210099822275,0.8666666666666667,23
glm-5,claude-code,-1.4443040735171622,-0.0883317079605575,0.9111111111111111,24
gpt-5-nano,terminus-2,-1.9304331359808964,-0.9553811726280746,0.8444444444444444,25
gpt-5-nano,codex,-3.1959313396542894,-0.7402575194849609,0.8666666666666667,26
